"# Backoff Power Limit Table (unit is 1 dBm, resolution level is ?0.5 dBm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,20,20,20,20,19,19,19,19,16,14.5,13,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14
Ch2,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14
Ch3,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14
Ch4,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17
Ch5,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17
Ch6,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17
Ch7,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17
Ch8,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,12.5,11,17,15.5,14,17,16,17
Ch9,22,22,22,22,21,21,21,21,18,16.5,15,20,20,20,20,20,20,20,20,20,20,20,15.5,14,20,18.5,17,20,19,20,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,9.5,8,14,12.5,11,14,13,14
