# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch1,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch2,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch3,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch4,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch5,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch6,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch7,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch8,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
Ch9,15.5,12.5,60,60,17,14,60,60,14,60,60,17.5,14.5,60,60,14,60,60,60,60,60,17,12,60,60,14,60,60,60,60,60,17,14,60,60,14,60,60,60,60,60,17,11.5,60,60,14,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,5,2.5,60,60,5,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,8,5.5,60,60,8,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60,11,8.5,60,60,11,60,60,60,60,60
